Date,predicted_mean
2020-09-28,215.62976923419882
2020-09-29,216.25156349084884
2020-09-30,215.21173968352045
2020-10-01,214.91284383988855
2020-10-02,215.4008555595101
2020-10-05,216.277246642737
2020-10-06,216.30824197286967
2020-10-07,215.45766537842326
2020-10-08,215.25095249884737
2020-10-09,215.79352528372345
2020-10-12,216.16653208792468
2020-10-13,215.82088142692973
2020-10-14,215.41736122720144
2020-10-15,215.56244865541672
2020-10-16,215.95211453377755
2020-10-19,215.95009103886008
2020-10-20,215.63444782675575
2020-10-21,215.52976190721463
2020-10-22,215.7592597099768
2020-10-23,215.91703554794518
2020-10-26,215.78064536601283
2020-10-27,215.60537730394205
2020-10-28,215.66228906468874
2020-10-29,215.8242212800887
2020-10-30,215.83010680140347
2020-11-02,215.69817175492662
2020-11-03,215.65114061142822
2020-11-04,215.74441766988892
2020-11-05,215.81340202917156
2020-11-06,215.75865486153714
2020-11-09,215.68429407805556
2020-11-10,215.70535103145917
2020-11-11,215.77344950665633
2020-11-12,215.77800265673375
2020-11-13,215.72340809762866
2020-11-16,215.7020403118008
2020-11-17,215.74014558715922
2020-11-18,215.7700114079091
2020-11-19,215.74825697931436
2020-11-20,215.71663741088048
2020-11-23,215.7243746780708
2020-11-24,215.75290954635207
2020-11-25,215.75573423582213
2020-11-26,215.73313660604765
2020-11-27,215.72353012417273
2020-11-30,215.73904771909935
2020-12-01,215.75196224927146
2020-12-02,215.74334042928226
2020-12-03,215.72992465500627
2020-12-04,215.73270336623935
2020-12-07,215.74465017907306
2020-12-08,215.74621059446616
2020-12-09,215.7368725560741
2020-12-10,215.73257805042056
2020-12-11,215.73888644618057
2020-12-14,215.74445665760615
2020-12-15,215.74105513639304
2020-12-16,215.7353706258655
2020-12-17,215.7363409110741
2020-12-18,215.74133608641193
2020-12-21,215.74214643462972
2020-12-22,215.73829282076431
2020-12-23,215.73638357204965
2020-12-24,215.73894271740159
2020-12-25,215.74134007498057
2020-12-28,215.74000450217807
2020-12-29,215.73759935094193
2020-12-30,215.73792450156424
2020-12-31,215.7400104912564
2021-01-01,215.74041481665728
2021-01-04,215.7388267938316
2021-01-05,215.73798202808217
2021-01-06,215.73901793585316
2021-01-07,215.7400476004109
2021-01-08,215.73952607158915
2021-01-11,215.7385098457682
2021-01-12,215.73861199195537
2021-01-13,215.73948201019724
2021-01-14,215.7396782135113
2021-01-15,215.7390247685771
2021-01-18,215.73865258973544
2021-01-19,215.73907093046384
2021-01-20,215.73951230982155
2021-01-21,215.73930993171157
2021-01-22,215.73888113867693
2021-01-25,215.73890967577535
2021-01-26,215.73927208443345
2021-01-27,215.73936535582413
2021-01-28,215.73909688072612
2021-01-29,215.73893353911998
2021-02-01,215.73910205893412
2021-02-02,215.73929091157257
2021-02-03,215.7392129491314
2021-02-04,215.73903226226926
2021-02-05,215.73903826040083
2021-02-08,215.73918903182826
2021-02-09,215.73923267383068
2021-02-10,215.7391225403653
2021-02-11,215.7390511026133
2021-02-12,215.7391188044489
2021-02-15,215.73919946592844
2021-02-16,215.73916968879408
2021-02-17,215.7390936498086
2021-02-18,215.73909367642082
2021-02-19,215.73915632120773
2021-02-22,215.73917648523874
2021-02-23,215.73913137977007
2021-02-24,215.73910023560921
2021-02-25,215.739127355159
2021-02-26,215.73916174849091
2021-03-01,215.7391504916047
2021-03-02,215.73911853321323
2021-03-03,215.73911750802648
2021-03-04,215.73914350302744
2021-03-05,215.73915272385
2021-03-08,215.73913428199083
2021-03-09,215.73912074395014
2021-03-10,215.7391315728665
2021-03-11,215.7391462140552
2021-03-12,215.7391420116761
2021-03-15,215.73912859704328
2021-03-16,215.73912773612255
2021-03-17,215.7391385088537
2021-03-18,215.7391426893108
2021-03-19,215.73913516246495
2021-03-22,215.73912929349677
2021-03-23,215.7391336024963
2021-03-24,215.7391398254728
2021-03-25,215.73913828120763
2021-03-26,215.73913265749795
2021-03-29,215.73913211744699
2021-03-30,215.7391365758911
2021-03-31,215.73913845739062
2021-04-01,215.73913539107346
2021-04-02,215.73913285315496
2021-04-05,215.73913456120695
2021-04-06,215.7391372021707
2021-04-07,215.73913664617763
2021-04-08,215.73913429155814
2021-04-09,215.7391339908247
2021-04-12,215.7391358335096
2021-04-13,215.7391366750013
2021-04-14,215.73913542826435
2021-04-15,215.73913433336105
2021-04-16,215.73913500753648
2021-04-19,215.7391361266888
2021-04-20,215.73913593196787
2021-04-21,215.73913494733475
2021-04-22,215.7391347904567
2021-04-23,215.7391355509859
2021-04-26,215.73913592527674
2021-04-27,215.7391354194071
2021-04-28,215.73913494808372
2021-04-29,215.73913521291388
2021-04-30,215.7391356864968
2021-05-03,215.73913562094816
2021-05-04,215.73913520971817
2021-05-05,215.73913513120297
2021-05-06,215.73913544464892
2021-05-07,215.7391356103262
2021-05-10,215.7391354055148
2021-05-11,215.73913520304396
2021-05-12,215.739135306513
2021-05-13,215.73913550663661
2021-05-14,215.7391354858908
2021-05-17,215.73913531435645
2021-05-18,215.73913527617225
2021-05-19,215.7391354051676
2021-05-20,215.7391354781874
2021-05-21,215.73913539545808
2021-05-24,215.73913530865113
2021-05-25,215.73913534882672
2021-05-26,215.73913543327865
2021-05-27,215.73913542739731
2021-05-28,215.7391353559359
2021-05-31,215.73913533775365
2021-06-01,215.73913539076028
2021-06-02,215.73913542281795
2021-06-03,215.73913538948426
2021-06-04,215.73913535233606
2021-06-07,215.73913536782408
2021-06-08,215.73913540341516
2021-06-09,215.73913540212556
2021-06-10,215.7391353723923
2021-06-11,215.7391353638737
2021-06-14,215.73913538562115
