Date,Close/Last,Volume,Open,High,Low,daily_return,monthly_return,annual_return,50_day_moving_average,200_day_moving_average,Close>Open,Close<Open,Up&Down
2022-02-14,168.88,86185530.0,167.37,169.58,166.56,,,,,,True,False,
2022-02-11,168.64,98670690.0,172.33,173.08,168.04,-0.001421127427759461,,,,,False,True,-0.2400000000000091
2022-02-10,172.12,90865900.0,174.14,175.48,171.55,0.02063567362428853,,,,,False,True,3.480000000000018
2022-02-09,176.28,71285040.0,176.05,176.65,174.9,0.024169184290030232,,,,,True,False,4.159999999999997
2022-02-08,174.83,74829220.0,171.73,175.35,171.43,-0.0082255502609484,,,,,True,False,-1.4499999999999886
2022-02-07,171.66,77251200.0,172.86,173.9458,170.95,-0.018131899559572284,,,,,False,True,-3.170000000000016
2022-02-04,172.39,82465400.0,171.68,174.1,170.68,0.004252592333682692,,,,,True,False,0.7299999999999898
2022-02-03,172.9,89418070.0,174.48,176.2399,172.12,0.0029584082603399953,,,,,False,True,0.5100000000000193
2022-02-02,175.84,84914260.0,174.745,175.88,173.33,0.017004048582995868,,,,,True,False,2.9399999999999977
2022-02-01,174.61,86213910.0,174.01,174.84,172.31,-0.00699499545040938,,,,,True,False,-1.2299999999999898
2022-01-31,174.78,115541600.0,170.16,175.0,169.51,0.0009735983047933772,,,,,True,False,0.1699999999999875
2022-01-28,170.33,179935700.0,165.71,170.35,162.8,-0.02546057901361709,,,,,True,False,-4.449999999999989
2022-01-27,159.22,121954600.0,162.45,163.84,158.28,-0.06522632536840256,-0.057200378967314,,,,False,True,-11.110000000000014
2022-01-26,159.69,108275300.0,163.5,164.3894,157.82,0.002951890466021956,-0.05307163187855779,,,,False,True,0.46999999999999886
2022-01-25,159.78,115798400.0,158.98,162.76,157.02,0.0005635919594213501,-0.07169416686033003,,,,True,False,0.09000000000000341
2022-01-24,161.62,162706700.0,160.02,162.3,154.7,0.011515834272124215,-0.08316314953483095,,,,True,False,1.8400000000000034
2022-01-21,162.41,122848900.0,164.415,166.33,162.3,0.004888008909788244,-0.07104043928387582,,,,False,True,0.789999999999992
2022-01-20,164.51,91420520.0,166.98,169.68,164.18,0.01293023828581985,-0.04165210299429112,,,,False,True,2.0999999999999943
2022-01-19,166.23,94814990.0,170.0,171.08,165.94,0.010455291471643147,-0.03573293114449794,,,,False,True,1.7199999999999989
2022-01-18,169.8,91168730.0,171.51,172.54,169.405,0.021476267821692874,-0.017929438982070556,,,,False,True,3.5700000000000216
2022-01-14,173.07,80440780.0,171.34,173.78,171.09,0.019257950530035206,-0.015752957233849063,,,,True,False,3.269999999999982
2022-01-13,172.19,84505760.0,175.78,176.62,171.79,-0.005084647830357669,-0.013859458221178733,,,,False,True,-0.8799999999999955
2022-01-12,175.53,74805170.0,176.12,177.18,174.82,0.019397177536442323,0.004291108822519707,,,,False,True,3.3400000000000034
2022-01-11,175.08,76138310.0,172.32,175.18,170.82,-0.0025636643308835083,0.0278870427992719,,,,True,False,-0.44999999999998863
2022-01-10,172.19,106765600.0,169.08,172.5,168.17,-0.016506739776102397,0.08145961562617754,,,,True,False,-2.890000000000015
2022-01-07,172.17,86709150.0,172.89,174.14,171.03,-0.00011615076369131394,0.0781514183730978,,,,False,True,-0.020000000000010232
2022-01-06,172.0,96903960.0,172.7,175.3,171.64,-0.0009873961781958762,0.0764801602203029,,,,False,True,-0.1699999999999875
2022-01-05,174.92,94537600.0,179.61,180.17,174.64,0.016976744186046444,0.082291795569855,,,,False,True,2.9199999999999875
2022-01-04,179.7,99310440.0,182.63,182.94,179.12,0.02732677795563676,0.10645896188658321,,,,False,True,4.780000000000001
2022-01-03,182.01,104701200.0,177.83,182.88,177.71,0.01285475792988322,0.10637651206613574,,,,True,False,2.3100000000000023
2021-12-31,177.57,64062260.0,178.085,179.23,177.26,-0.02439426405142575,0.06821873308067139,,,,False,True,-4.439999999999998
2021-12-30,178.2,59773010.0,179.47,180.57,178.09,0.003547896604155998,0.04946996466431086,,,,False,True,0.6299999999999955
2021-12-29,179.38,62348930.0,179.33,180.63,178.14,0.006621773288439936,0.03645923614722357,,,,True,False,1.1800000000000068
2021-12-28,179.29,79144340.0,180.16,181.33,178.53,-0.0005017281748244118,0.04123352111040135,,,,False,True,-0.09000000000000341
2021-12-27,180.33,74919580.0,177.085,180.42,177.07,0.005800658151598137,0.027345752862758532,,,,True,False,1.0400000000000205
2021-12-23,176.28,68356570.0,175.85,176.8499,175.27,-0.022458825486607936,0.006854009595613331,,,,True,False,-4.050000000000011
2021-12-22,175.64,92135300.0,173.04,175.86,172.15,-0.003630587701384247,0.020036006736744216,,,,True,False,-0.6400000000000148
2021-12-21,172.99,91185910.0,171.555,173.2,169.12,-0.015087679344112814,0.00476273450659237,,,,True,False,-2.6499999999999773
2021-12-20,169.75,107499100.0,168.28,170.58,167.46,-0.018729406324065057,-0.013081395348837233,,,,True,False,-3.240000000000009
2021-12-17,171.14,195923400.0,169.93,173.47,169.69,0.008188512518409352,-0.021609878801737925,,,,True,False,1.3899999999999864
2021-12-16,172.26,150185800.0,179.28,181.14,170.75,0.006544349655253079,-0.04140233722871456,,,,False,True,1.1200000000000045
2021-12-15,179.3,131063300.0,175.11,179.5,172.3108,0.04086845466155831,-0.014889291797153925,,,,True,False,7.0400000000000205
2021-12-14,174.33,139380400.0,175.25,177.74,172.21,-0.027718906860011105,-0.018246325392802687,,,,False,True,-4.969999999999999
2021-12-13,175.74,153237000.0,181.115,182.13,175.53,0.008088108759249701,-0.013804713804713709,,,,False,True,1.4099999999999966
2021-12-10,179.45,115402700.0,175.205,179.63,174.69,0.021110731762831403,0.0003902330248632957,,,,True,False,3.7099999999999795
2021-12-09,174.56,108923700.0,174.91,176.75,173.92,-0.027249930342713724,-0.026381839477940705,,,,False,True,-4.889999999999986
2021-12-08,175.08,116998900.0,172.125,175.96,170.7,0.0029789184234647603,-0.02911329229745463,,,,True,False,0.5200000000000102
2021-12-07,171.18,120405400.0,169.08,171.58,168.34,-0.022275531185743658,-0.028931245745404954,,,,True,False,-3.9000000000000057
2021-12-06,165.32,107497000.0,164.29,167.8799,164.28,-0.0342329711414886,-0.05875654748348891,,,,True,False,-5.860000000000014
2021-12-03,161.84,118023100.0,164.02,164.96,159.72,-0.021050084684248627,-0.06445459275102605,,172.30020000000002,,False,True,-3.4799999999999898
2021-12-02,163.76,136739200.0,158.735,164.2,157.8,0.011863568956994586,-0.03528718703976441,,172.19780000000003,,True,False,1.9199999999999875
2021-12-01,164.77,152423000.0,167.48,170.3,164.53,0.0061675622862726875,-0.037220988664251387,,172.12040000000002,,False,True,1.0100000000000193
2021-11-30,165.3,174048100.0,159.985,165.52,159.92,0.0032166049644959394,-0.04040404040404033,,171.984,,True,False,0.5300000000000011
2021-11-29,160.24,88748220.0,159.37,161.19,158.7901,-0.030611010284331552,-0.10630228667038488,,171.6632,,True,False,-5.060000000000002
2021-11-26,156.81,76959750.0,159.565,160.45,156.36,-0.021405391912131866,-0.10049905351918775,,171.3028,,False,True,-3.430000000000007
2021-11-24,161.94,69463620.0,160.75,162.14,159.64,0.03271475033479998,-0.07852509388869933,,171.1084,,True,False,5.1299999999999955
2021-11-23,161.41,96041900.0,161.12,161.8,159.0601,-0.003272817092750402,-0.10052939537475614,,170.8888,,True,False,-0.5300000000000011
2021-11-22,161.02,117467900.0,161.68,165.7,161.0,-0.0024162071742765967,-0.07756645279560037,,170.6512,,False,True,-0.38999999999998636
2021-11-19,160.55,117305600.0,157.65,161.02,156.5328,-0.0029188920630977,-0.08299063285355268,,170.34539999999998,,True,False,-0.46999999999999886
2021-11-18,157.87,137827700.0,153.71,158.67,153.05,-0.016692619121769003,-0.07775441056198151,,170.0106,,True,False,-2.680000000000007
2021-11-17,153.49,88807000.0,150.995,155.0,150.99,-0.027744346614302917,-0.07155819017662701,,169.5848,,True,False,-4.3799999999999955
2021-11-16,151.0,59256210.0,149.94,151.488,149.34,-0.016222555215323564,-0.06697973306969851,,169.19819999999999,,True,False,-2.490000000000009
2021-11-15,150.0,59222800.0,150.37,151.88,149.43,-0.0066225165562914245,-0.08402540302882266,,169.0138,,False,True,-1.0
2021-11-12,149.99,63804010.0,148.43,150.4,147.48,-6.666666666665932e-05,-0.08970079504764217,,168.8198,,True,False,-0.009999999999990905
2021-11-11,147.87,40999950.0,148.96,149.43,147.681,-0.014134275618374548,-0.10544464609800364,,168.5816,,False,True,-2.1200000000000045
2021-11-10,147.92,65187090.0,150.02,150.13,147.85,0.0003381348481772406,-0.07688467299051438,,168.3076,,False,True,0.04999999999998295
2021-11-09,150.81,56787930.0,150.2,151.428,150.0601,0.019537587885343433,-0.03826286588865502,,168.0756,,True,False,2.890000000000015
2021-11-08,150.44,55020870.0,151.41,151.57,150.16,-0.0024534182083416622,-0.0710139557860936,,167.79420000000002,,False,True,-0.37000000000000455
